Julie,Rogers,,www.julieerogers.com ,Painting - non juried,509
William,Sheppard,Chroma Coma,www.chromacoma.storenvy.com,Painting - non juried,470
J. Spencer,Shull,jellykoe,http://www.jellykoe.com ,Painting - non juried,591
Kimberly,Stansbury,,,Painting - non juried,540
Jim,Zhang,,,Painting - non juried,339
Krista,Aversano,,www.tajmahound.com ,Pet supplies - non juried,600
Melissa,Brown,Hollywoof Styles,www.hollywoofstyles.com,Pet supplies - non juried,440
Christina,Glennon,Decorative Additions,www.chrisglennonart.com ,Pet supplies - non juried,388
Melissa,Koch,Shore Dog,www.shoredog.com ,Pet supplies - non juried,461
Andrea,Roemer,Brixtix Bakery for Dogs,www.brixtix.com,Pet supplies - non juried,430
Christine,Wyman,doggie bags,,Pet supplies - non juried,597
Glenn,Lewis,Glenn Lewis Photography,www.glennlewisphotography.com ,Photography - juried,"104,106"
Helen,Bradshaw,,www.helenbradshawphotography.com ,Photography - non juried,561
Russell,Colegrove,Russ Colegrove Photography,www.russcolegrove.com ,Photography - non juried,544
Jennifer,Ludlum,,www.jenniferludlumphotography.com ,Photography - non juried,332
Donna,Rainey,ArtWrkz Studio,,Photography - non juried,437
Catherine,Teague,,www.catiteague.com,Photography - non juried,506
Debra & Dave,Vanderlaan,Celebrate Life Gallery,www.celebratelifegallery.com ,Photography - non juried,"622,624"
maria,musngi,Orb clothing,,Textile - juried,"120,122"
Amy,Allison,Eagles Nest Outfitters,www.enonation.com ,Textile - non juried,477
Heather,Bins,Whole Earth,,Textile - non juried,324
Lisa,Boesch,ellembee,www.ellembee.etsy.com ,Textile - non juried,569
Jo,Bolt,,,Textile - non juried,480
Buzz,Busbee,ABETTERBUZZ Brand Goods,www.abetterbuzzbrandgoods.com ,Textile - non juried,483
Sarah,Churchill,,,Textile - non juried,492
Emory,Cullen,Wandering Line,www.thewanderingline.com ,Textile - non juried,340
Meghna,Dave,Maelu,www.MaeluDesigns.com ,Textile - non juried,419
Karen,Dillingham,Westwind Tie Dye,,Textile - non juried,494
Mariah,Emmett,Funky MAE,,Textile - non juried,364
Evija,Fairo,100%cool Efi Designs,www.100percentcool.com ,Textile - non juried,398
Kerry,Granger,Kerry Granger,www.Kerrygranger.com,Textile - non juried,392
Jennifer,Hahn,"French Silver, LLC",www.frenchsilvershop.com ,Textile - non juried,616
Allison,Hartman,404 Proud,www.404proud.com ,Textile - non juried,550
Jack,Hollibaugh,"Lusinia, Inc.",www.lusinia.com ,Textile - non juried,325
Jennifer,Humphrey,,www.the-little-nest.com ,Textile - non juried,349
Lisa,Kelly,Mandalina,www.facebook.com/mandalinalove ,Textile - non juried,585
Joy,Maples,Local Threads,,Textile - non juried,361
Danielle,Mathis,,www.textileandtwine.etsy.com ,Textile - non juried,363
Judy,May,Wescott HOA,,Textile - non juried,369
Nick,Mosley,Buckhead Thread Co.,www.buckheadthread.com ,Textile - non juried,471
Juliet,Muhwezi,Jinja  Boutique,,Textile - non juried,338
Jackie,Oleski,JackieOdesigns,,Textile - non juried,560
Evans,Prater,Mount Inspiration Apparel,http://www.mountinspiration.com ,Textile - non juried,424
Tina,Rice,Tina's Tie Dye,www.tinastiedye.com ,Textile - non juried,495
sharon,rothschild,two stix,www.twostixthestore ,Textile - non juried,442
Inna,Schoeler,Foxxychique,www.foxxychique.com ,Textile - non juried,466
Shaili,Shah,Wiggle & Roar,www.wiggleandroar.etsy.com ,Textile - non juried,468
jeff,ayers,,www.call-to-duty.org ,Various - non juried,437
Jenny,Brown,The Hairy Gentleman Company,www.Thehairygentlemancompany.com,Various - non juried,527
Cassie,Carter,Cheeky Maiden Soap Co,www.cheekymaidensoap.com ,Various - non juried,586
Sage,Cox,Dragonfly Henna,www.atlantahenna.com ,Various - non juried,619
Earth and Sky ,Creations LLC,,,Various - non juried,589
Marcus,Cuttino,The Raffia Boutique,https://www.etsy.com/shop/TheRaffiaBoutique ,Various - non juried,326
Donna,Davenport,What's It Worth,,Various - non juried,"467,469"
Ashley,Gatlin,Bath Crafts by AshGat,https://www.facebook.com/BathCraftsByAshGat/ ,Various - non juried,378
Millicent,Hill,Ndulge In You,www.ndulgeinyou.net,Various - non juried,323
Mary,Hood,Inner Compass Travel,www.innercompasstravel.com ,Various - non juried,513
Lumen,Hunter,Lumens Collection,,Various - non juried,"342,344"
Tasha,Hussey,Tasha Hussey & Associates,www.etsy.com/shop/kayajacobclothing ,Various - non juried,335
Aphropaintbrush,Mack,Aphropaintbrush,,Various - non juried,357
Angela,Owens,Heads Or Tails,www.hairbowpalace.com ,Various - non juried,383
Meghan,Pearson,,www.believeinatl.com ,Various - non juried,391
Linda,Powell,,www.bigskinny.net ,Various - non juried,594
Chuck,Reece,The Bitter Southerner,www.bittersoutherner.com,Various - non juried,596
Rick,Ruth,Marble Mountain Creations,www.trainsgoneby.com ,Various - non juried,381
Karen,Sanderson,Diamondback Hats,www.diamondbackhats.com ,Various - non juried,385
Michelle,Schretter,The SandArt Cart,www.thesandartcart.com ,Various - non juried,525
Lindsay,Sharpe,,www.etsy.com/shop/OddLittleBirdie ,Various - non juried,428
Jaclyn,Van Camp,Southern Grove Candles,www.southerngrovecandles.com,Various - non juried,432
Kristen,Vincent,Prayerworks Studio,www.prayerworksstudio.com ,Various - non juried,420
Richard,Barber,,http://nostalgiaplaques.com/ ,Woodwork - non juried,393
NICOLAS,BAUDRY,,http://www.treehouseexperts.com ,Woodwork - non juried,"553,555"
Ashley,Bodi,Southern Sunshine,http://southern-sunshine.com ,Woodwork - non juried,566
David ,Caudel ,Caudel Creative ,,Woodwork - non juried,414
Wesley,Cooper,Lineage Creations,,Woodwork - non juried,558
Lee,Dayvault,Go Jump in the LakeÂ®,https://www.etsy.com/shop/GoJumpInTheLake ,Woodwork - non juried,"546,548"
Debra,Douthit,Rustic Stuff of the South,www.rusticstuffofthesouth.com,Woodwork - non juried,"382,384"
Jay,Hallinan,Hallinan Creative Woodwork,www.hallinancreativewoodwork.com ,Woodwork - non juried,426
Jerome,Howard,Howard's Furniture,www.myfarmtable.com ,Woodwork - non juried,"454,456"
Hal,Jones,Wooden it be Lovely,www.woodenitbelovely123.com,Woodwork - non juried,387
Michael ,Knight,Kaboodle Home,,Woodwork - non juried,"571,573"
Richard,McCollum,White Forest Spoons,www.spootch.com ,Woodwork - non juried,"570,572"
Arlene,Molnar,The Altered Artist,,Woodwork - non juried,498
Mark,Puckett,Wood Craft Toys,www.woodcrafttoys.com ,Woodwork - non juried,310
Don,Puckett,,www.senddesigns.net,Woodwork - non juried,315
Jason ,Quigley,,,Woodwork - non juried,621
Joseph,Scialabba ,Scialabba construction ,,Woodwork - non juried,582
Jim ,Simon,The Woodstock Woodshop,www.thewoodstockwoodshop.com ,Woodwork - non juried,568
david,sinquefield,D & B Enterprises,,Woodwork - non juried,626
margaret,taylor,dryads dancing,www.dryadsdancing.com,Woodwork - non juried,"453,455"
Mike,Tice,MW Furnishings ,https://www.mwfurnishings.design/ ,Woodwork - non juried,529
Alicia,Williams,Creations by SV,www.CreationsbySV.etsy.com ,Woodwork - non juried,599
